"No.","Time","Source","Destination","Protocol","Length","Info"
"3691","0.067202","142.111.161.211","10.10.10.10","TCP","58","80  >  32390 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3692","0.067271","23.230.189.50","10.10.10.10","TCP","58","80  >  50238 [SYN, ACK] Seq=0 Ack=1 Win=16384 Len=0 MSS=1400"
"3693","0.067282","136.0.253.231","10.10.10.10","TCP","54","80  >  61821 [RST] Seq=1 Win=0 Len=0"
"3694","0.067303","166.88.130.250","10.10.10.10","TCP","58","80  >  16410 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3695","0.067320","107.187.43.200","10.10.10.10","TCP","58","443  >  58746 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3696","0.067327","107.164.60.166","10.10.10.10","TCP","58","80  >  39466 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3697","0.067419","172.120.230.19","10.10.10.10","TCP","58","80  >  9624 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3698","0.067426","107.186.149.216","10.10.10.10","TCP","58","80  >  49534 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3699","0.067444","50.118.138.184","10.10.10.10","TCP","58","80  >  36577 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3700","0.067482","23.230.145.5","10.10.10.10","TCP","58","443  >  7848 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400"
"3701","0.067497","104.253.148.36","10.10.10.10","TCP","58","80  >  21088 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3702","0.067501","142.111.134.173","10.10.10.10","TCP","58","80  >  51339 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3703","0.067517","107.187.80.214","10.10.10.10","TCP","58","80  >  28521 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3704","0.067546","104.253.51.5","10.10.10.10","TCP","58","80  >  845 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
